aviso_provisional,variable,val,label,frq,raw.prc,valid.prc,cum.prc
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,0,<none>,2252229,16.97,16.97,16.97
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,9.09,<none>,189986,1.43,1.43,18.4
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,10,<none>,240524,1.81,1.81,20.21
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,11.11,<none>,228697,1.72,1.72,21.94
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,12.5,<none>,234180,1.76,1.76,23.7
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,14.29,<none>,253819,1.91,1.91,25.62
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,16.67,<none>,204454,1.54,1.54,27.16
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,18.18,<none>,192674,1.45,1.45,28.61
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,20,<none>,368947,2.78,2.78,31.39
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,22.22,<none>,215346,1.62,1.62,33.01
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,25,<none>,333553,2.51,2.51,35.52
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,27.27,<none>,183444,1.38,1.38,36.91
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,28.57,<none>,225584,1.7,1.7,38.61
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,30,<none>,238492,1.8,1.8,40.4
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,33.33,<none>,491627,3.7,3.7,44.11
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,36.36,<none>,226347,1.71,1.71,45.81
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,37.5,<none>,215680,1.63,1.63,47.44
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,40,<none>,380926,2.87,2.87,50.31
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,42.86,<none>,222450,1.68,1.68,51.98
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,44.44,<none>,223503,1.68,1.68,53.67
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,45.45,<none>,230028,1.73,1.73,55.4
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,50,<none>,799975,6.03,6.03,61.43
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,54.55,<none>,231453,1.74,1.74,63.17
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,55.56,<none>,226334,1.71,1.71,64.88
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,57.14,<none>,204906,1.54,1.54,66.42
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,60,<none>,360984,2.72,2.72,69.14
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,62.5,<none>,211198,1.59,1.59,70.73
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,63.64,<none>,214916,1.62,1.62,72.35
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,66.67,<none>,445512,3.36,3.36,75.71
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,70,<none>,209985,1.58,1.58,77.29
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,71.43,<none>,171704,1.29,1.29,78.59
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,72.73,<none>,208040,1.57,1.57,80.15
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,75,<none>,285372,2.15,2.15,82.3
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,77.78,<none>,165175,1.24,1.24,83.55
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,80,<none>,295424,2.23,2.23,85.78
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,81.82,<none>,167006,1.26,1.26,87.03
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,83.33,<none>,142050,1.07,1.07,88.1
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,85.71,<none>,131952,0.99,0.99,89.1
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,87.5,<none>,130625,0.98,0.98,90.08
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,88.89,<none>,123268,0.93,0.93,91.01
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,90,<none>,135809,1.02,1.02,92.04
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,90.91,<none>,138125,1.04,1.04,93.08
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_ep_pct,100,<none>,918924,6.92,6.92,100
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_barrio_pct,0,<none>,4140827,31.59,31.59,31.59
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_barrio_pct,50,<none>,5574634,42.52,42.52,74.11
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_barrio_pct,100,<none>,3394070,25.89,25.89,100
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_casa_pct,0,<none>,10297783,77.59,77.59,77.59
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_casa_pct,50,<none>,1763276,13.29,13.29,90.88
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,emper_casa_pct,100,<none>,1211052,9.12,9.12,100
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,comper_pct,0,<none>,1824758,13.73,13.73,13.73
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,comper_pct,7.69,<none>,267128,2.01,2.01,15.74
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,comper_pct,8.33,<none>,301494,2.27,2.27,18.01
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,comper_pct,9.09,<none>,243848,1.83,1.83,19.84
D2 abierta (PLAN.md): la categorización en terciles (ntile) de los índices _pct puede cambiar. Los índices _pct continuos no dependen de D2.,comper_pct,10,<none>,214615,1.61,1.61,21.46
